capital_ratio,leverage,liquidity_ratio,roa,asset_quality,network_centrality,num_connections,total_exposure,max_single_exposure,exposure_concentration,market_stress_index,interest_rate,market_volatility,past_defaults,risk_appetite,investment_volatility,lender_capital_ratio,lender_risk_appetite,loan_amount,default_prob,cascade_risk,defaulted_5_steps,defaulted_10_steps,cascade_triggered
0.10106046145860997,7.965041689526679,0.18630522868693963,0.012677474848889996,0.8257819592578292,0.16140631333073563,7,21.95533975722895,14.506215131945538,0.37029248150261623,0.1336111926339579,0.04221048566147078,0.020121340878898532,0,0.4600361517422414,0.21005072509463663,0.14915930432720714,0.4388532240214705,10.1312977667651,0.018876321207329252,0.14425896492655407,0,0,0
0.02936089514877079,9.709433727108514,0.1032936029946946,0.0003102544135994926,0.8022649096020732,0.07295987833434629,3,40.62889466572214,10.098991818927301,0.25580856546239494,0.4654513616049781,0.01714991296955156,0.03215100194215581,0,0.5902432298592811,0.14758427863572138,0.14087100890506968,0.6364608195462467,1.0287878005118634,0.20101245257811798,0.369348805943342,0,0,1
0.11393422042698317,7.222963093822228,0.2853944820496367,0.003186702605324854,0.8104875491039527,0.45773443133356617,5,41.32030215759501,11.013331910217834,0.2939417512364982,0.2999783847271203,0.051236217996418865,0.03240399473356178,2,0.7366576511510481,0.09228042880938339,0.10525818479769777,0.5635701343551149,9.439541356839264,0.32717001058188094,0.5644852344023392,0,1,1
0.08322703010992977,12.02454089140153,0.24620115231949308,-0.0014146126142507397,0.7384822502199325,0.324137870415938,8,41.12799420590653,4.8554176212553575,0.42941820988578555,0.47446856674030913,0.07329712599900076,0.02371485083446792,0,0.4720124253860526,0.3679254297205015,0.12098158630533774,0.42160472660123594,13.571762396331497,0.23694190211846022,0.5169190933160797,0,1,1
0.06955931420316487,10.935447805944554,0.11548314687758272,0.016387690711823062,0.9001510549995683,0.15064296679550696,7,18.034413150916826,6.928508636857838,0.3434340170832691,0.5993585106600559,0.07639201151510895,0.019992478321839417,0,0.8643449385203197,0.2501802841056,0.11638345921010615,0.6489702892673612,24.285458533764444,0.19759980896839757,0.29662023785480046,0,0,0
0.0827148163080838,14.116734483514737,0.17006816331853777,0.018538158805043163,0.802090146941592,0.48264597561597855,6,7.45726566882716,3.199162755031978,0.2342839799201459,0.050670341376896674,0.07097628984447386,0.008565186342325101,0,0.5295036540271928,0.2874540779391873,0.10116521788365303,0.5055096653254869,13.035264772374886,0.049639546645174455,0.16305026692045257,0,0,0
0.1132056332429542,5.899718520795709,0.23825824340857,0.013179176187673874,0.7404009638783008,0.35430131424910394,2,14.76000923751801,7.223130670589733,0.48427974145013586,0.24067753676252196,0.026834542249020796,0.03527430767828969,0,0.37935542337042855,0.18332298208300213,0.09106833457017051,0.5041275297757232,18.334683664742485,0.019283858115148007,0.19015350151021043,0,0,0
0.04171503009310932,23.79158017128198,0.04065431120436276,-0.004404089777198838,0.6451315131325994,0.07154387518320493,3,75.82488758480997,6.40889763295169,0.2041762344119394,0.12863033648364863,0.03105765031705151,0.008012598335412935,0,0.7406029418040176,0.0985519109213951,0.10340552429125305,0.5730449935873779,3.663224285807645,0.6506478217739505,0.7134246917756175,0,1,1
0.08285613333432942,12.53178421957467,0.16410688221004013,0.01719279271971502,0.5587412979472078,0.18679141427646664,5,40.62565867745906,13.471613009314439,0.4756946953164213,0.13704797046597694,0.02901019938853762,0.016883990819990556,0,0.570123549633758,0.11480511430757238,0.089579489715522,0.49153624355417774,5.484629523178013,0.08143460675588744,0.26130317910839124,0,0,0
0.10879908082857262,13.886817329089421,0.07781408152024726,0.015497419800789187,0.9644407853419398,0.13530748334480047,6,45.03719995924807,6.051245221058891,0.21551563651358788,0.11352240528366656,0.045804006539419455,0.03213617919372874,0,0.700759345830063,0.16092638370294246,0.11837152897027656,0.28511315331166254,37.37887335162233,0.05758784329621918,0.25108955536488825,0,0,0
